"","state_code","state_name","density","hispanic","afam","education","vap","county_fips","county_name","vote_16","vote_12","clinton_votes","obama_votes","trump_votes","romney_votes","midwest","twoway16","twoway12"
"1","AR","Arkansas",3355.58841934728,0.0443474396887501,0.138029714892373,45298.0065738312,72302.0028440654,31,"Craighead",35573,31700,10538,10527,22892,20350,FALSE,0.315225845049357,0.34093338083363
"2","AR","Arkansas",1248.72867754107,0.0157493434272546,0.0100729003913968,33608.417775057,13797.9999493212,121,"Randolph",6379,5956,1425,2046,4509,3701,FALSE,0.240141557128413,0.35601183226031
"3","AL","Alabama",306.916403196352,0.00526733485644748,0.435096301686886,32834.7079875893,10718.0003288984,23,"Choctaw",7292,7976,3109,3786,4106,4152,FALSE,0.430907830907831,0.476946334089191
"4","AL","Alabama",628.394221017129,0.0783630769306823,0.0995806919685806,41430.7427537062,32683.0004242361,21,"Chilton",18369,17485,2911,3397,15081,13932,FALSE,0.161794130724767,0.196029776674938
"5","IA","Iowa",4872.84245450007,0.0192946276098429,0.0323748239625416,54237.0265661538,71401.002908349,61,"Dubuque",49721,50894,22850,28768,23460,21280,FALSE,0.493413949470957,0.574808184143223
"6","WY","Wyoming",4937.26908964831,0.0782736826468933,0.00548414412060507,77942.1918583227,33151.0006961673,5,"Campbell",18199,17571,1324,2163,15778,14953,FALSE,0.0774178458659806,0.126372984342136
"7","NM","New Mexico",3612.49317795066,0.132504337794438,0.00886812490665623,32544.1015638113,49119.0022332817,31,"McKinley",21703,21929,13576,15841,5104,5546,FALSE,0.726766595289079,0.74068359283677
"8","SD","South Dakota",1611.1541928234,0.00553774054310684,0.00204022249130354,45754.6269309239,2716.00002768636,59,"Hand",1818,1848,334,575,1391,1242,FALSE,0.193623188405797,0.316455696202532
"9","WY","Wyoming",2633.29546209193,0.0564264844749697,0.00386312049163293,49038.8579368442,29911.0012623668,13,"Fremont",17023,16939,4200,5333,11167,11075,FALSE,0.273312943320102,0.325024378352023
"10","SD","South Dakota",2240.97170872473,0.00708023934828875,0.00539447077244158,56553,2245.00001305342,117,"Stanley",1567,1540,329,435,1148,1063,FALSE,0.222748815165877,0.290387182910547
